school_type,bgn_p50,mid_p50,mid_p10,mid_p25,mid_p75,mid_p90
State,44100,82800,43200,60700,113000,160000
State,44000,80600,43400,56400,111000,157000
Liberal Arts,44000,83900,45100,59800,129000,184000
State,43900,85300,45400,60100,112000,157000
Party,43800,74600,41900,53200,106000,153000
State,43800,78700,41600,55400,101000,132000
State,43800,74600,41900,53200,106000,153000
State,43800,76000,40400,56300,104000,128000
State,43600,68300,40900,50600,91600,136000
State,43600,80800,43900,60200,111000,161000
Liberal Arts,43500,80100,0,64800,111000,0
State,43500,73100,39500,51600,97000,137000
State,43400,72100,37700,50400,99500,133000
Liberal Arts,43400,81600,0,46400,128000,0
State,43300,74700,39500,53800,95700,140000
State,43300,79000,37200,54100,106000,138000
State,43200,77700,43300,56200,107000,132000
State,43200,75500,40500,55800,98200,136000
State,43100,82700,46100,67800,106000,132000
State,43100,78100,39700,55700,106000,141000
State,43100,74000,38200,53200,99500,133000
State,43100,75900,40100,54100,100000,133000
Party,43100,78100,39700,55700,106000,141000
State,43000,72500,38300,51300,99300,139000
State,42900,81500,43400,57500,117000,155000
State,42800,80700,40100,56500,114000,151000
State,42800,76100,40100,56200,101000,139000
Liberal Arts,42800,83500,0,58600,125000,0
State,42800,78300,43000,57300,107000,149000
State,42700,75400,41300,56700,99200,119000
State,42700,72100,30800,47000,92200,132000
Liberal Arts,42600,83600,0,54100,123000,0
State,42600,70900,40700,52300,94400,123000
State,42600,71100,40700,53000,99500,137000
State,42600,71300,36000,56300,94400,117000
State,42600,71700,39500,51500,98400,125000
Party,42600,83600,0,54100,123000,0
Liberal Arts,42600,76600,0,65100,116000,0
Liberal Arts,42500,74400,0,56700,94900,0
State,42500,70700,39100,49800,92700,121000
State,42400,72600,43300,56100,99600,151000
State,42400,67100,27000,44100,84900,110000
State,42400,81600,44800,57200,115000,156000
Liberal Arts,42400,94100,0,57100,131000,0
State,42300,74600,40600,54000,93700,123000
State,42300,81300,39300,47600,117000,173000
State,42300,73800,40100,52500,103000,135000
State,42200,69300,37500,47200,93100,133000
State,42200,73400,36600,52800,106000,150000
State,42200,78400,38100,56200,117000,186000
Party,42200,73400,36600,52800,106000,150000
Party,42100,73000,39600,52800,107000,156000
State,42100,73000,39600,52800,107000,156000
Liberal Arts,42100,80000,35600,54300,100000,160000
State,42000,68400,37400,51900,100000,123000
Liberal Arts,42000,69800,0,55000,94000,0
State,42000,73400,39100,55200,105000,142000
Liberal Arts,42000,83500,0,62100,122000,0
State,41900,56500,30700,39700,78400,116000
Liberal Arts,41800,78900,0,67200,110000,0
State,41800,74000,43000,55300,99900,145000
Party,41800,78300,41700,56400,114000,147000
State,41800,71400,38700,49400,101000,126000
State,41800,78300,41700,56400,114000,147000
State,41700,81000,43500,57100,111000,156000
Liberal Arts,41600,74600,0,42800,147000,0
State,41600,81600,41800,59100,105000,141000
Liberal Arts,41500,67500,0,44600,93100,0
State,41500,72600,39500,54400,97400,126000
State,41400,64800,35000,47300,93100,125000
Liberal Arts,41400,88300,49500,57400,133000,185000
State,41400,69700,36100,49100,93500,127000
Party,41400,79700,40400,53500,108000,186000
State,41400,67100,36800,49600,97600,144000
State,41400,79700,40400,53500,108000,186000
Party,41300,81400,40100,56500,117000,161000
State,41300,81400,40100,56500,117000,161000
State,41200,72100,41700,55600,99300,141000
State,41100,70300,40600,53300,95200,127000
State,41100,76300,42000,54500,107000,163000
State,41100,73500,34100,49900,99400,129000
State,41100,71100,39600,51500,98100,131000
State,40800,69500,37400,48700,87500,110000
State,40800,62400,32100,47400,80400,126000
State,40800,76200,38400,54100,105000,136000
State,40800,75500,38200,53500,99300,150000
State,40700,71400,40900,53100,84900,119000
Liberal Arts,40500,81100,0,67400,101000,0
State,40400,69100,37200,50400,90800,115000
State,40400,58200,25600,46000,84600,117000
State,40300,72100,37900,52800,95400,135000
State,40200,67500,38400,52000,98700,151000
State,40000,71700,36300,49900,98400,131000
State,39800,72100,38200,51800,101000,146000
State,39800,64000,38400,45100,95400,128000
Liberal Arts,39500,63900,38800,47200,91600,120000
State,39400,63600,40400,47900,85700,117000
State,39300,66400,37700,49700,90100,138000
State,39200,74500,32800,46100,110000,161000
State,39200,70100,43000,53400,91400,125000
Liberal Arts,39200,78200,0,54100,131000,0
State,39100,64500,35500,48200,89300,128000
Liberal Arts,38900,72600,38200,53400,104000,140000
State,38900,65800,36300,48100,95800,124000
State,38700,62600,36100,45800,87000,124000
State,38700,63300,33600,45300,83900,118000
State,38600,70900,36000,50500,93100,117000
Liberal Arts,38500,81400,0,43000,148000,0
State,38000,70300,35100,51200,100000,179000
State,38000,71400,33700,50500,94100,121000
State,38000,77800,40400,53000,115000,169000
State,37900,50600,22600,31800,78500,98900
State,37800,66200,32800,44200,93300,181000
State,37700,59200,32200,40500,73900,96200
State,37500,64400,32100,46600,97100,129000
State,37500,76700,40000,54300,97700,155000
State,37300,71900,37000,51500,96400,138000
State,36900,66600,39000,49500,94400,133000
State,36100,69500,33300,46900,102000,134000
State,35800,60600,35500,46800,81800,102000
State,35300,43900,27000,32200,60900,87600
State,34800,60600,34300,46500,72000,91300
